IncidntNum,Category,Date
513,BURGLARY,12/2013
2788,LARCENY/THEFT,12/2013
97,STOLEN PROPERTY,12/2013
594,VANDALISM,12/2013
536,VEHICLE THEFT,12/2013
32,ARSON,01/2014
612,BURGLARY,01/2014
2926,LARCENY/THEFT,01/2014
84,STOLEN PROPERTY,01/2014
574,VANDALISM,01/2014
517,VEHICLE THEFT,01/2014
21,ARSON,02/2014
506,BURGLARY,02/2014
2540,LARCENY/THEFT,02/2014
97,STOLEN PROPERTY,02/2014
536,VANDALISM,02/2014
442,VEHICLE THEFT,02/2014
13,ARSON,03/2014
560,BURGLARY,03/2014
3011,LARCENY/THEFT,03/2014
96,STOLEN PROPERTY,03/2014
596,VANDALISM,03/2014
527,VEHICLE THEFT,03/2014
18,ARSON,04/2014
480,BURGLARY,04/2014
3007,LARCENY/THEFT,04/2014
88,STOLEN PROPERTY,04/2014
614,VANDALISM,04/2014
649,VEHICLE THEFT,04/2014
15,ARSON,05/2014
483,BURGLARY,05/2014
2815,LARCENY/THEFT,05/2014
88,STOLEN PROPERTY,05/2014
583,VANDALISM,05/2014
641,VEHICLE THEFT,05/2014
25,ARSON,06/2014
439,BURGLARY,06/2014
2738,LARCENY/THEFT,06/2014
76,STOLEN PROPERTY,06/2014
507,VANDALISM,06/2014
682,VEHICLE THEFT,06/2014
20,ARSON,07/2014
498,BURGLARY,07/2014
3179,LARCENY/THEFT,07/2014
90,STOLEN PROPERTY,07/2014
612,VANDALISM,07/2014
650,VEHICLE THEFT,07/2014
19,ARSON,08/2014
477,BURGLARY,08/2014
3635,LARCENY/THEFT,08/2014
92,STOLEN PROPERTY,08/2014
625,VANDALISM,08/2014
645,VEHICLE THEFT,08/2014
14,ARSON,09/2014
452,BURGLARY,09/2014
3251,LARCENY/THEFT,09/2014
80,STOLEN PROPERTY,09/2014
596,VANDALISM,09/2014
495,VEHICLE THEFT,09/2014
24,ARSON,10/2014
551,BURGLARY,10/2014
3621,LARCENY/THEFT,10/2014
105,STOLEN PROPERTY,10/2014
632,VANDALISM,10/2014
703,VEHICLE THEFT,10/2014
28,ARSON,11/2014
461,BURGLARY,11/2014
3484,LARCENY/THEFT,11/2014
74,STOLEN PROPERTY,11/2014
606,VANDALISM,11/2014
566,VEHICLE THEFT,11/2014
22,ARSON,12/2014
514,BURGLARY,12/2014
3653,LARCENY/THEFT,12/2014
88,STOLEN PROPERTY,12/2014
621,VANDALISM,12/2014
584,VEHICLE THEFT,12/2014
41,ARSON,01/2015
492,BURGLARY,01/2015
3705,LARCENY/THEFT,01/2015
80,STOLEN PROPERTY,01/2015
611,VANDALISM,01/2015
606,VEHICLE THEFT,01/2015
31,ARSON,02/2015
